Input (y),Result for y,Result for -y
-89,-89,89
-77,-77,77
71,71,-71
78,78,-78
15,15,-15
72,72,-72
68,68,-68
-99,-99,99
-16,-16,16
71,71,-71
60,60,-60
-26,-26,26
19,19,-19
-37,-37,37
78,78,-78
27,27,-27
8,8,-8
-13,-13,13
2,2,-2
-24,-24,24
16,16,-16
-43,-43,43
92,92,-92
33,33,-33
-49,-49,49
23,23,-23
54,54,-54
-17,-17,17
-43,-43,43
-68,-68,68
-97,-97,97
40,40,-40
-65,-65,65
-73,-73,73
23,23,-23
15,15,-15
-24,-24,24
83,83,-83
-13,-13,13
-24,-24,24
31,31,-31
-43,-43,43
52,52,-52
-17,-17,17
59,59,-59
-7,-7,7
66,66,-66
-96,-96,96
16,16,-16
85,85,-85
6,6,-6
97,97,-97
37,37,-37
-5,-5,5
-47,-47,47
-54,-54,54
-66,-66,66
-94,-94,94
39,39,-39
74,74,-74
-10,-10,10
24,24,-24
-32,-32,32
83,83,-83
61,61,-61
-77,-77,77
75,75,-75
12,12,-12
65,65,-65
-6,-6,6
87,87,-87
7,7,-7
-43,-43,43
0,0,0
59,59,-59
8,8,-8
-16,-16,16
-36,-36,36
-44,-44,44
-30,-30,30
-12,-12,12
-86,-86,86
-89,-89,89
-32,-32,32
52,52,-52
17,17,-17
5,5,-5
-88,-88,88
-41,-41,41
-7,-7,7
-72,-72,72
47,47,-47
89,89,-89
75,75,-75
29,29,-29
52,52,-52
-85,-85,85
-51,-51,51
-78,-78,78
20,20,-20
-28,-28,28
77,77,-77
-10,-10,10
98,98,-98
49,49,-49
-58,-58,58
63,63,-63
-17,-17,17
-13,-13,13
-2,-2,2
-66,-66,66
-64,-64,64
-60,-60,60
-9,-9,9
68,68,-68
81,81,-81
55,55,-55
-58,-58,58
56,56,-56
-34,-34,34
63,63,-63
-46,-46,46
-90,-90,90
57,57,-57
-11,-11,11
10,10,-10
-16,-16,16
-55,-55,55
-97,-97,97
-77,-77,77
-67,-67,67
56,56,-56
-13,-13,13
0,0,0
7,7,-7
79,79,-79
15,15,-15
56,56,-56
-78,-78,78
75,75,-75
11,11,-11
52,52,-52
-15,-15,15
95,95,-95
-32,-32,32
-80,-80,80
33,33,-33
45,45,-45
83,83,-83
88,88,-88
15,15,-15
36,36,-36
-31,-31,31
-52,-52,52
-57,-57,57
-82,-82,82
-98,-98,98
64,64,-64
99,99,-99
-15,-15,15
6,6,-6
78,78,-78
10,10,-10
6,6,-6
5,5,-5
-56,-56,56
-57,-57,57
4,4,-4
-38,-38,38
-68,-68,68
58,58,-58
-66,-66,66
-98,-98,98
-64,-64,64
48,48,-48
-79,-79,79
3,3,-3
-6,-6,6
54,54,-54
-5,-5,5
-8,-8,8
59,59,-59
40,40,-40
76,76,-76
75,75,-75
51,51,-51
-78,-78,78
47,47,-47
76,76,-76
-12,-12,12
-20,-20,20
-96,-96,96
-75,-75,75
76,76,-76
-56,-56,56
-26,-26,26
3,3,-3
-10,-10,10
96,96,-96
-67,-67,67
-5,-5,5
52,52,-52
-61,-61,61
39,39,-39
47,47,-47
2,2,-2
-24,-24,24
-9,-9,9
-49,-49,49
27,27,-27
-90,-90,90
-6,-6,6
-79,-79,79
-87,-87,87
-12,-12,12
-42,-42,42
-35,-35,35
24,24,-24
57,57,-57
44,44,-44
-44,-44,44
-62,-62,62
-13,-13,13
-84,-84,84
19,19,-19
24,24,-24
-10,-10,10
-69,-69,69
-2,-2,2
62,62,-62
76,76,-76
-56,-56,56
9,9,-9
-57,-57,57
4,4,-4
-16,-16,16
-45,-45,45
96,96,-96
58,58,-58
-24,-24,24
-72,-72,72
-68,-68,68
-77,-77,77
-43,-43,43
28,28,-28
-29,-29,29
47,47,-47
88,88,-88
-81,-81,81
90,90,-90
-56,-56,56
-25,-25,25
-90,-90,90
58,58,-58
-87,-87,87
60,60,-60
53,53,-53
8,8,-8
-73,-73,73
17,17,-17
96,96,-96
-57,-57,57
75,75,-75
-89,-89,89
-95,-95,95
81,81,-81
26,26,-26
69,69,-69
-27,-27,27
1,1,-1
49,49,-49
83,83,-83
-64,-64,64
48,48,-48
91,91,-91
-34,-34,34
35,35,-35
-42,-42,42
-88,-88,88
-39,-39,39
-7,-7,7
69,69,-69
-1,-1,1
43,43,-43
81,81,-81
32,32,-32
55,55,-55
31,31,-31
-32,-32,32
-94,-94,94
98,98,-98
-94,-94,94
39,39,-39
-39,-39,39
-88,-88,88
73,73,-73
40,40,-40
-63,-63,63
33,33,-33
-17,-17,17
-86,-86,86
31,31,-31
-53,-53,53
-66,-66,66
-23,-23,23
-47,-47,47
54,54,-54
87,87,-87
-26,-26,26
53,53,-53
-98,-98,98
-47,-47,47
30,30,-30
17,17,-17
96,96,-96
-84,-84,84
49,49,-49
21,21,-21
92,92,-92
-10,-10,10
-84,-84,84
-30,-30,30
67,67,-67
-66,-66,66
57,57,-57
-93,-93,93
-39,-39,39
-20,-20,20
-85,-85,85
-88,-88,88
-64,-64,64
-62,-62,62
75,75,-75
74,74,-74
-60,-60,60
-6,-6,6
-73,-73,73
84,84,-84
32,32,-32
54,54,-54
-3,-3,3
34,34,-34
-46,-46,46
-38,-38,38
-89,-89,89
-82,-82,82
-94,-94,94
32,32,-32
-57,-57,57
65,65,-65
57,57,-57
-37,-37,37
51,51,-51
43,43,-43
-53,-53,53
-70,-70,70
-97,-97,97
36,36,-36
-6,-6,6
-98,-98,98
-75,-75,75
13,13,-13
75,75,-75
-32,-32,32
-18,-18,18
-5,-5,5
45,45,-45
-36,-36,36
12,12,-12
45,45,-45
-66,-66,66
-88,-88,88
-4,-4,4
52,52,-52
-55,-55,55
1,1,-1
-29,-29,29
16,16,-16
75,75,-75
39,39,-39
28,28,-28
85,85,-85
-69,-69,69
93,93,-93
67,67,-67
7,7,-7
-59,-59,59
-23,-23,23
96,96,-96
73,73,-73
-81,-81,81
-25,-25,25
-74,-74,74
14,14,-14
-49,-49,49
37,37,-37
-45,-45,45
43,43,-43
49,49,-49
18,18,-18
-61,-61,61
-19,-19,19
-97,-97,97
86,86,-86
59,59,-59
77,77,-77
-88,-88,88
-31,-31,31
60,60,-60
-96,-96,96
73,73,-73
86,86,-86
74,74,-74
80,80,-80
49,49,-49
-59,-59,59
-20,-20,20
94,94,-94
14,14,-14
-2,-2,2
-11,-11,11
73,73,-73
-14,-14,14
-54,-54,54
-74,-74,74
96,96,-96
0,0,0
21,21,-21
-27,-27,27
30,30,-30
2,2,-2
-39,-39,39
37,37,-37
89,89,-89
69,69,-69
-63,-63,63
36,36,-36
-20,-20,20
79,79,-79
91,91,-91
-52,-52,52
-72,-72,72
5,5,-5
39,39,-39
16,16,-16
54,54,-54
-6,-6,6
-28,-28,28
-4,-4,4
-15,-15,15
-42,-42,42
64,64,-64
-51,-51,51
-6,-6,6
-80,-80,80
-79,-79,79
18,18,-18
-39,-39,39
78,78,-78
-31,-31,31
90,90,-90
-82,-82,82
14,14,-14
-51,-51,51
-14,-14,14
81,81,-81
-50,-50,50
-44,-44,44
75,75,-75
-33,-33,33
-79,-79,79
-88,-88,88
-68,-68,68
-20,-20,20
94,94,-94
-45,-45,45
-29,-29,29
38,38,-38
17,17,-17
37,37,-37
6,6,-6
88,88,-88
-82,-82,82
77,77,-77
29,29,-29
-69,-69,69
65,65,-65
50,50,-50
85,85,-85
-5,-5,5
-25,-25,25
-35,-35,35
-18,-18,18
-31,-31,31
70,70,-70
-47,-47,47
94,94,-94
8,8,-8
-25,-25,25
16,16,-16
52,52,-52
67,67,-67
-60,-60,60
-100,-100,100
-3,-3,3
-50,-50,50
-26,-26,26
-11,-11,11
65,65,-65
8,8,-8
-61,-61,61
-32,-32,32
-51,-51,51
-88,-88,88
19,19,-19
-75,-75,75
-53,-53,53
25,25,-25
-64,-64,64
-64,-64,64
43,43,-43
-6,-6,6
-30,-30,30
88,88,-88
-34,-34,34
-30,-30,30
13,13,-13
-11,-11,11
54,54,-54
-77,-77,77
85,85,-85
-61,-61,61
85,85,-85
-32,-32,32
-3,-3,3
-100,-100,100
47,47,-47
-58,-58,58
93,93,-93
-88,-88,88
3,3,-3
-14,-14,14
-49,-49,49
-9,-9,9
85,85,-85
-96,-96,96
-43,-43,43
-67,-67,67
-95,-95,95
10,10,-10
48,48,-48
-26,-26,26
-77,-77,77
-42,-42,42
-6,-6,6
-81,-81,81
-46,-46,46
8,8,-8
24,24,-24
19,19,-19
-93,-93,93
-72,-72,72
-66,-66,66
-31,-31,31
22,22,-22
-59,-59,59
9,9,-9
-90,-90,90
6,6,-6
19,19,-19
17,17,-17
-26,-26,26
-72,-72,72
38,38,-38
71,71,-71
-78,-78,78
7,7,-7
50,50,-50
6,6,-6
91,91,-91
-84,-84,84
68,68,-68
13,13,-13
80,80,-80
63,63,-63
22,22,-22
-92,-92,92
71,71,-71
32,32,-32
-59,-59,59
-31,-31,31
10,10,-10
-68,-68,68
-69,-69,69
-50,-50,50
5,5,-5
-21,-21,21
-46,-46,46
-30,-30,30
-90,-90,90
78,78,-78
96,96,-96
-53,-53,53
71,71,-71
27,27,-27
-90,-90,90
41,41,-41
-73,-73,73
39,39,-39
-83,-83,83
85,85,-85
55,55,-55
91,91,-91
-93,-93,93
65,65,-65
-67,-67,67
-5,-5,5
-38,-38,38
-68,-68,68
-67,-67,67
78,78,-78
-31,-31,31
-42,-42,42
-18,-18,18
16,16,-16
-88,-88,88
-60,-60,60
-49,-49,49
69,69,-69
88,88,-88
84,84,-84
-74,-74,74
-54,-54,54
-1,-1,1
65,65,-65
91,91,-91
24,24,-24
-100,-100,100
35,35,-35
53,53,-53
88,88,-88
-12,-12,12
-96,-96,96
-79,-79,79
-15,-15,15
-61,-61,61
-84,-84,84
-57,-57,57
67,67,-67
-13,-13,13
-33,-33,33
-13,-13,13
-19,-19,19
-30,-30,30
-6,-6,6
56,56,-56
70,70,-70
12,12,-12
71,71,-71
88,88,-88
-26,-26,26
42,42,-42
12,12,-12
-37,-37,37
35,35,-35
-27,-27,27
3,3,-3
82,82,-82
-39,-39,39
64,64,-64
51,51,-51
17,17,-17
-66,-66,66
-71,-71,71
-53,-53,53
13,13,-13
-75,-75,75
-58,-58,58
-82,-82,82
14,14,-14
-100,-100,100
74,74,-74
-33,-33,33
52,52,-52
4,4,-4
12,12,-12
-43,-43,43
-93,-93,93
-63,-63,63
-84,-84,84
61,61,-61
70,70,-70
-73,-73,73
64,64,-64
-88,-88,88
-17,-17,17
-59,-59,59
-84,-84,84
63,63,-63
-71,-71,71
-81,-81,81
-50,-50,50
-22,-22,22
13,13,-13
-8,-8,8
23,23,-23
77,77,-77
77,77,-77
79,79,-79
-29,-29,29
-89,-89,89
79,79,-79
-19,-19,19
-85,-85,85
30,30,-30
-49,-49,49
-27,-27,27
22,22,-22
30,30,-30
-77,-77,77
-80,-80,80
-30,-30,30
61,61,-61
-51,-51,51
65,65,-65
28,28,-28
25,25,-25
-86,-86,86
40,40,-40
-62,-62,62
-45,-45,45
-82,-82,82
-18,-18,18
76,76,-76
-52,-52,52
4,4,-4
24,24,-24
18,18,-18
22,22,-22
-22,-22,22
32,32,-32
-32,-32,32
-83,-83,83
-10,-10,10
-49,-49,49
-4,-4,4
92,92,-92
-66,-66,66
-40,-40,40
-50,-50,50
-62,-62,62
-49,-49,49
42,42,-42
94,94,-94
-58,-58,58
-75,-75,75
-45,-45,45
30,30,-30
-5,-5,5
72,72,-72
50,50,-50
19,19,-19
-65,-65,65
-99,-99,99
94,94,-94
-45,-45,45
12,12,-12
99,99,-99
36,36,-36
86,86,-86
36,36,-36
45,45,-45
71,71,-71
52,52,-52
10,10,-10
-33,-33,33
-66,-66,66
71,71,-71
42,42,-42
49,49,-49
-77,-77,77
-29,-29,29
-92,-92,92
23,23,-23
41,41,-41
58,58,-58
-84,-84,84
-58,-58,58
-38,-38,38
-94,-94,94
15,15,-15
68,68,-68
46,46,-46
-84,-84,84
-18,-18,18
26,26,-26
-63,-63,63
38,38,-38
-70,-70,70
67,67,-67
93,93,-93
88,88,-88
53,53,-53
-57,-57,57
-50,-50,50
-67,-67,67
-86,-86,86
95,95,-95
72,72,-72
78,78,-78
-9,-9,9
56,56,-56
94,94,-94
38,38,-38
-2,-2,2
88,88,-88
-18,-18,18
-87,-87,87
1,1,-1
-7,-7,7
-89,-89,89
5,5,-5
58,58,-58
-16,-16,16
-48,-48,48
15,15,-15
-28,-28,28
2,2,-2
-45,-45,45
69,69,-69
77,77,-77
-70,-70,70
-65,-65,65
55,55,-55
-8,-8,8
-79,-79,79
-70,-70,70
44,44,-44
73,73,-73
72,72,-72
51,51,-51
-41,-41,41
11,11,-11
-67,-67,67
7,7,-7
70,70,-70
-22,-22,22
-66,-66,66
76,76,-76
28,28,-28
58,58,-58
-72,-72,72
58,58,-58
-81,-81,81
-50,-50,50
-32,-32,32
78,78,-78
-86,-86,86
-34,-34,34
-99,-99,99
-100,-100,100
8,8,-8
-17,-17,17
-49,-49,49
-54,-54,54
-29,-29,29
63,63,-63
